"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wf_sweep"
"07/24/2026 02:00:29:408 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_friend","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"3","0.25","37","3.8248175182481754","3","274","196","9.379562043795621"
"6","0.25","44","4.096385542168675","10","249","242","9.244979919678714"
"4","0.25","41","4.016194331983805","6","247","210","9.23076923076923"
"3","0.25","38","4","3","271","196","9.261992619926199"
"2","0.25","40","4.094861660079052","4","253","175","9.312252964426877"
"4","0.25","42","4.016194331983805","6","247","210","9.23076923076923"
"1","0.25","36","4.080508474576271","4","236","171","9.313559322033898"
"6","0.25","45","4.088709677419355","10","248","242","9.225806451612904"
"2","0.25","41","4.098814229249012","4","253","175","9.312252964426877"
"3","0.25","39","4","3","270","196","9.222222222222221"
"5","0.25","34","4.082758620689655","7","290","218","9.220689655172414"
"2","0.25","42","4.099601593625498","5","251","175","9.227091633466136"
"5","0.25","35","4.083044982698962","7","289","218","9.204152249134948"
"5","0.25","36","4.090592334494773","7","287","218","9.13588850174216"
"4","0.25","43","4.024590163934426","7","244","228","9.295081967213115"
"6","0.25","46","4.084677419354839","10","248","255","9.330645161290322"
"4","0.25","44","4.028688524590164","7","244","228","9.295081967213115"
"6","0.25","47","4.089795918367347","11","245","255","9.216326530612244"
"3","0.25","40","4.003731343283582","4","268","212","9.32089552238806"
"4","0.25","45","4.024793388429752","9","242","228","9.206611570247935"
"1","0.25","37","3.7905138339920947","4","253","187","9.256916996047432"
"2","0.25","43","4.099601593625498","5","251","184","9.298804780876495"
"6","0.25","48","4.089795918367347","11","245","255","9.216326530612244"
"3","0.25","41","4.007490636704119","5","267","212","9.280898876404494"
"1","0.25","38","4.055555555555555","4","252","187","9.214285714285714"
"2","0.25","44","4.091633466135458","5","251","184","9.298804780876495"
"3","0.25","42","4.003773584905661","5","265","212","9.2"
"1","0.25","39","4.063745019920319","5","251","187","9.171314741035857"
"2","0.25","45","4.095617529880478","5","251","184","9.298804780876495"
"4","0.25","46","4.012448132780083","9","241","247","9.319502074688797"
"4","0.25","47","4.012448132780083","9","241","247","9.319502074688797"
"5","0.25","37","3.9003322259136213","7","301","246","9.322259136212624"
"6","0.25","49","3.6911764705882355","11","272","276","9.110294117647058"
"4","0.25","48","4.0125","9","240","247","9.275"
"2","0.25","46","4.091633466135458","5","251","193","9.370517928286853"
"5","0.25","38","4.1033333333333335","7","300","246","9.286666666666667"
"1","0.25","40","4.067729083665339","5","251","198","9.258964143426295"
"3","0.25","43","4.003787878787879","6","264","233","9.325757575757576"
"6","0.25","50","4.0661764705882355","11","272","276","9.110294117647058"
"1","0.25","41","4.075697211155378","5","251","198","9.258964143426295"
"2","0.25","47","4.095617529880478","5","251","193","9.370517928286853"
"5","0.25","39","4.110738255033557","7","298","246","9.221476510067115"
"6","0.25","51","4.0814814814814815","11","270","276","9.044444444444444"
"1","0.25","42","4.075697211155378","5","251","198","9.258964143426295"
"3","0.25","44","4.003787878787879","6","264","233","9.325757575757576"
"2","0.25","48","4.091633466135458","5","251","193","9.370517928286853"
"3","0.25","45","4","7","263","233","9.285171102661597"
"1","0.25","43","4.076305220883534","5","249","208","9.285140562248996"
"4","0.25","49","3.8669354838709675","9","248","261","9.403225806451612"
"1","0.25","44","4.076305220883534","5","249","208","9.285140562248996"
"6","0.25","52","4.0817843866171","11","269","286","9.078066914498141"
"4","0.25","50","4.016129032258065","9","248","261","9.403225806451612"
"5","0.25","40","4.111486486486487","8","296","267","9.29054054054054"
"2","0.25","49","3.8783269961977185","5","263","198","9.315589353612168"
"6","0.25","53","4.085820895522388","12","268","286","9.037313432835822"
"1","0.25","45","4.076305220883534","5","249","208","9.285140562248996"
"5","0.25","41","4.111864406779661","8","295","267","9.254237288135593"
"4","0.25","51","4","9","247","261","9.360323886639677"
"2","0.25","50","4.072243346007604","5","263","198","9.315589353612168"
"6","0.25","54","4.086792452830188","13","265","286","8.920754716981133"
"3","0.25","46","3.99618320610687","7","262","262","9.465648854961833"
"5","0.25","42","4.1058020477815695","8","293","267","9.187713310580206"
"2","0.25","51","4.072243346007604","5","263","198","9.315589353612168"
"3","0.25","47","3.996153846153846","8","260","262","9.384615384615385"
"1","0.25","46","4.076305220883534","5","249","217","9.357429718875501"
"1","0.25","47","4.076612903225806","5","248","217","9.314516129032258"
"4","0.25","52","4.004065040650406","10","246","267","9.365853658536585"
"3","0.25","48","3.996124031007752","10","258","262","9.30232558139535"
"2","0.25","52","4.076628352490421","6","261","204","9.279693486590038"
"1","0.25","48","4.076923076923077","5","247","217","9.271255060728745"
"4","0.25","53","4.008230452674897","12","243","267","9.234567901234568"
"2","0.25","53","4.06949806949807","7","259","204","9.196911196911197"
"6","0.25","55","4.087121212121212","13","264","318","9.121212121212121"
"5","0.25","43","4.1061643835616435","8","292","293","9.32876712328767"
"2","0.25","54","4.073643410852713","7","258","204","9.155038759689923"
"4","0.25","54","4.020746887966805","12","241","267","9.145228215767634"
"5","0.25","44","4.109589041095891","8","292","293","9.32876712328767"
"6","0.25","56","4.083333333333333","13","264","318","9.121212121212121"
"5","0.25","45","4.109965635738831","8","291","293","9.292096219931272"
"6","0.25","57","4.083969465648855","14","262","318","9.038167938931299"
"1","0.25","49","3.964426877470356","5","253","230","9.438735177865613"
"2","0.25","55","4.0627450980392155","8","255","225","9.192156862745097"
"4","0.25","55","4.025","12","240","294","9.341666666666667"
"1","0.25","50","4.087649402390438","6","251","230","9.354581673306773"
