"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"2","1","58","4.08641975308642","14","243","327","9.489711934156379"
"3","2","62","3.8974358974358974","13","273","303","9.296703296703297"
"5","0.5","66","3.9718875502008033","19","249","319","9.309236947791165"
"4","4","75","3.9490196078431374","18","255","449","9.16078431372549"
"2","1","59","4.086776859504132","14","242","327","9.454545454545455"
"3","2","63","3.911764705882353","13","272","303","9.257352941176471"
"1","0.5","52","3.9683794466403164","10","253","283","9.233201581027668"
"2","1","60","4.086776859504132","14","242","327","9.454545454545455"
"4","4","76","3.9490196078431374","18","255","461","9.254901960784315"
"6","1","67","3.92578125","13","256","357","9.1484375"
"4","4","77","3.9203187250996017","19","251","461","9.08366533864542"
"1","0.5","53","3.9642857142857144","10","252","283","9.19047619047619"
"6","1","68","3.9215686274509802","14","255","357","9.12156862745098"
"4","4","78","3.9203187250996017","19","251","461","9.08366533864542"
"5","0.5","67","3.971774193548387","19","248","334","9.387096774193548"
"6","1","69","3.9215686274509802","14","255","357","9.12156862745098"
"5","0.5","68","3.97165991902834","19","247","334","9.34412955465587"
"1","0.5","54","3.9681274900398407","10","251","283","9.155378486055778"
"3","2","64","3.911439114391144","13","271","324","9.37269372693727"
"2","1","61","3.908366533864542","15","251","346","9.49800796812749"
"5","0.5","69","3.962962962962963","22","243","334","9.176954732510287"
"4","4","79","3.92","19","250","488","9.256"
"2","1","62","4.083665338645418","15","251","346","9.49800796812749"
"4","4","80","3.9196787148594376","20","249","488","9.21285140562249"
"3","2","65","3.907749077490775","13","271","324","9.37269372693727"
"3","2","66","3.907749077490775","13","271","324","9.37269372693727"
"4","4","81","3.9036144578313254","20","249","488","9.21285140562249"
"2","1","63","4.08","15","250","346","9.456"
"6","1","70","3.921259842519685","14","254","378","9.244094488188976"
"6","1","71","3.921259842519685","14","254","378","9.244094488188976"
"1","0.5","55","3.9681274900398407","10","251","308","9.354581673306773"
"1","0.5","56","3.9681274900398407","10","251","308","9.354581673306773"
"6","1","72","3.921259842519685","14","254","378","9.244094488188976"
