"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4B_Outmigration"
"07/28/2026 22:20:41:780 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [count link-neighbors] of turtles","mean [risk-score] of turtles"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","270","11.37037037037037","3.9444444444444446"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","248","11.346774193548388","3.9879032258064515"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","258","11.5968992248062","4.073643410852713"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","241","11.809128630705395","4.012448132780083"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","269","11.315985130111525","3.936802973977695"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","248","11.346774193548388","3.9596774193548385"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","245","11.755102040816327","4.0653061224489795"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","243","11.440329218106996","4.045267489711934"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","241","11.809128630705395","4.008298755186722"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","245","11.755102040816327","4.0653061224489795"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","243","11.440329218106996","4.041152263374485"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","239","11.832635983263598","4"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","245","11.755102040816327","4.0653061224489795"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","241","11.336099585062241","4.045643153526971"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","254","11.488188976377952","4.074803149606299"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","267","11.393258426966293","3.943820224719101"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","247","11.433198380566802","3.9473684210526314"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","267","11.393258426966293","3.940074906367041"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","254","11.488188976377952","4.074803149606299"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","267","11.393258426966293","3.943820224719101"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","253","11.470355731225297","4.075098814229249"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","246","11.373983739837398","3.951219512195122"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","244","11.262295081967213","3.9549180327868854"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","239","11.882845188284518","3.98744769874477"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","239","11.882845188284518","3.99581589958159"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","264","11.742424242424242","3.772727272727273"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","37","265","11.479245283018868","3.667924528301887"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","238","11.831932773109244","3.995798319327731"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","262","11.633587786259541","4.099236641221374"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","262","11.633587786259541","4.129770992366412"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","38","264","11.454545454545455","4.049242424242424"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","267","11.50561797752809","3.9363295880149813"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","251","11.49800796812749","4.075697211155378"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","39","261","11.28735632183908","4.0344827586206895"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","267","11.50561797752809","3.940074906367041"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","243","11.45679012345679","3.954732510288066"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","250","11.448","4.076"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","265","11.456603773584906","3.9358490566037734"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","248","11.338709677419354","4.080645161290323"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","243","11.45679012345679","3.954732510288066"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","237","11.856540084388186","3.9957805907172994"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","262","11.725190839694656","4.133587786259542"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","242","11.396694214876034","3.9545454545454546"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","261","11.693486590038313","4.126436781609195"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","235","11.761702127659575","3.9957446808510637"
